CustomerNumber	FName	Lname	Gender	Add1	Add2	City	State	Zip	Plus4	Birthday
5376892417	Ann	Adinims	F	6820 Parkdale Pl	Apt. 115	New York	 NY	10254	5344	9/8/1961
9883911594	Stanley	Adkins	M	1340 E County Line Rd	Apt. R	New York	 NY	10143	4432	6/8/1982
8405065129	Stanley	Arrko	M	8424 Naab Rd		New York	 NY	10260	4412	11/4/1966
2359437184	James	Adlam	M	8333 Naab Rd	Apt. 400	New York	 NY	10260	2230	5/7/1978
2268079543	Rajiv	Agarwal	M	1120 South Dr	Apt. 215	New York	 NY	10202	4433	11/3/1981
3262083403	John	Agee	M	650 N Girls School Rd		New York	 NY	10214	4433	7/3/1941
9545365952	John	Arrko	M	860 E 86th St		New York	 NY	10240	4423	12/9/1936
7176584257	John	Almu	M	992 Mitthoeffer Rd		New York	 NY	10229	4455	10/5/1937
6193533704	Steven	Ahfeld	M	9302 N Meridian St	Apt. 110	New York	 NY	10260	4325	10/1/1944
3962748389	Gerald	Ahfeld	M	1250 E County Line Rd	Apt. 6	New York	 NY	10227	5533	5/9/1961
6668299888	Bianca	Ainhorn	F	1801 N Senate Blvd	Apt. 200	New York	 NY	10202	6654	5/8/1950
2840830163	Bianca	Abshire	F	6820 Parkdale Pl	Apt. 100	New York	 NY	10254	7449	5/7/1982
5136897016	Alex	Aisen	M	1001 W Tenth St		New York	 NY	10202	5344	8/5/1957
9315132781	Alex	Asko	M	550 N University Blvd	Apt. 0641	New York	 NY	10202	4432	12/6/1958
2448735894	Alexander	Ajoulini	M	6100 N Keystone Ave	Apt. 618	New York	 NY	10220	4412	7/4/1966
1731797399	Luke	Akard	M	1633 N Capitol Ave	Apt. 917	New York	 NY	10202	2230	6/6/1939
7163530410	John	Aker	M	6820 Parkdale Place	Apt. 203	New York	 NY	10254	4433	12/8/1984
5073625084	Anthony	Akosa	M	550 N University Blvd	Apt. 2007	New York	 NY	10202	4433	5/4/1950
7025527395	Willard	Albrecht	M	3901 W 86th St	Apt. 330	New York	 NY	10268	4423	6/10/1937
6716768423	Willard	Asko	M	6100 N Keystone Ave	Apt. 618	New York	 NY	10220	4455	1/4/1942
9784867928	Juanita	Albright	F	8402 Harcourt Rd	Apt. 408	New York	 NY	10260	4325	10/7/1977
1241749801	Nancy	Albright	F	4010 W 86th St	Apt. A	New York	 NY	10268	5533	9/1/1949
4516691089	Marlene	Aldo 	F	1801 N Senate MPC	Apt. 315	New York	 NY	10202	6654	12/6/1975
462221068	Marlene	Aldo 	F	6820 Parkdale Pl	Apt. 105	New York	 NY	10254	7449	12/7/1955
4857785479	Stanley	Alexander	M	1001 W Tenth St		New York	 NY	10202	5344	4/11/1970
972562411	Stanley	Alexander	M	550 N University Blvd	Apt. 0641	New York	 NY	10202	4432	11/12/1977
7782439953	Abe	Alps	M	650 N Girls School Rd		New York	 NY	10214	4412	10/6/1962
880282286	Abe	Alhassan	M	860 E 86th St		New York	 NY	10240	2230	11/5/1960
9169616476	Abe	Albadr	M	992 Mitthoeffer Rd		New York	 NY	10229	4433	10/8/1954
9759001006	Sylvester	Ali	M	8130 E 21St St		New York	 NY	10219	4433	10/9/1983
141382613	Vincent	Ali	M	420 Round Hill Rd		New York	 NY	10260	4423	8/8/1960
6562503145	Charles	Allen	M	8091 Township Line	Apt. 203	New York	 NY	10260	4455	7/5/1958
3212458851	Deborah	Allen	F	1001 W Tenth St		New York	 NY	10202	4325	1/2/1959
2500555124	Deborah	Ark	F	1095 Broad Ripple Ave		New York	 NY	10220	5533	7/5/1940
1236623120	Deborah	Alldo	F	550 N University Blvd	Apt. 2007	New York	 NY	10202	6654	10/5/1968
9877406453	Deborah	Aspre	F	6895 Parkdale Pl	Apt. BVE	New York	 NY	10254	7449	2/2/1952
2839629658	Deborah	Asko	F	702 Barnhill Dr		New York	 NY	10202	5344	11/7/1950
4872092284	Deborah	Aackley	F	8404 Siear Terrace	Apt. 206	New York	 NY	10227	4432	9/7/1971
318140780	James	Allen	M	4084 Pendleton Way	Apt. B	New York	 NY	10226	4412	12/4/1967
6463320181	Keith	Gatlen	M	8333 Naab Rd	Apt. 300	New York	 NY	10260	2230	4/9/1950
1062278661	Stephen	Sanford	M	1455 E Southport Rd	Apt. A2	New York	 NY	10227	4433	8/11/1976
7034543940	Stephen	Asko	M	635 Barnhill Dr	RM 128A	New York	 NY	10202	4433	3/12/1965
907837360	Christopher	Alley	M	1120 South Dr	Apt. 204	New York	 NY	10202	4423	1/6/1980
9581492220	Thomas	Alley	M	1801 N Senate Blvd	Apt. 355	New York	 NY	10202	4455	9/5/1969
3150110119	Thomas	Asko	M	8051 S Emerson Ave	Apt. 410	New York	 NY	10237	4325	3/6/1966
3644939804	Kris	Alloju	M	860 E 86th St		New York	 NY	10240	5533	11/10/1979
6693140546	Kris	Aski	M	992 Mitthoeffer Rd		New York	 NY	10229	6654	5/2/1976
7434141102	Robert	Alonso	M	1801 N Senate Blvd	Apt. 510	New York	 NY	10202	7449	12/8/1948
2098612058	Robert	Asko	M	1801 N Senate Blvd	Apt. 590	New York	 NY	10202	5344	8/1/1945
78528184	Robert	Aspo	M	1801 N Senate Blvd	Apt. G407	New York	 NY	10202	4432	12/6/1982
3618165439	Robert	Appre	M	9240 N Meridian St	Apt. 210	New York	 NY	10260	4412	10/9/1969
9063673812	Janette	Alpert	F	650 N Girls School Rd		New York	 NY	10214	2230	9/4/1946
9266836597	Annette	Rupert	F	860 E 86th St		New York	 NY	10240	4433	7/7/1936
4279028532	Annette	Alpert	F	992 Mitthoeffer Rd		New York	 NY	10229	4433	5/10/1973
6803838200	David	Alvis	M	3225 N Meridian St	Apt. 106	New York	 NY	10208	4423	3/1/1959
3925814303	David	Asko	M	6443 W Tenth St	Apt. 101	New York	 NY	10214	4455	8/8/1954
6040621888	David	Abbert	M	9002 N Meridian St	Apt. 106	New York	 NY	10260	4325	11/4/1938
302139394	Clarence	Amalus	M	1701 N Senate Blvd		New York	 NY	10202	5533	7/7/1971
2228325948	Thomas	Amrob	M	1001 W 10th St		New York	 NY	10202	6654	10/11/1946
604812425	Thomas	Asko	M	550 N University Blvd		New York	 NY	10202	7449	10/10/1967
5139131302	Wayne	Amnso	M	1633 N Capitol Ave	Apt. 522	New York	 NY	10202	5344	3/6/1976
7346755984	Wayne	Ambrough	M	3901 W 86th St	Apt. 330	New York	 NY	10268	4432	1/10/1957
413219731	Mohammed	Amin	M	1001 W Tenth St		New York	 NY	10202	4412	4/3/1974
8497795538	Kristen	Amlong	F	1500 Ritter Ave		New York	 NY	10219	2230	4/7/1938
2890141043	Kathleen	Ammel	F	4850 Century Plaza Rd		New York	 NY	10254	4433	9/6/1970
1922958882	Karen	Amstutz	F	1001 W Tenth St		New York	 NY	10202	4433	2/10/1942
216619832	Karen	Allos	F	702 Barnhill Dr		New York	 NY	10202	4423	4/5/1968
6227891529	Jonathan	Smith	M	1120 South Dr	Apt. 204	New York	 NY	10202	4455	5/2/1982
5240846956	Caryn	Jackson	F	550 N University Blvd	Apt. 0641	New York	 NY	10202	4325	4/7/1975
7853040118	Dennis	Calmes	M	602 N High School Rd		New York	 NY	10214	5533	8/7/1975
4240348126	John	Swing	M	1455 E Southport Rd	Apt. A2	New York	 NY	10227	6654	8/1/1955
4325192521	Joseph	Williamson	M	2310 E 62ND St		New York	 NY	10220	7449	10/4/1942
7028167126	Joseph	Abad	M	4850 Century Plaza Rd		New York	 NY	10254	5344	7/11/1939
2409038131	Lydia	Abbert	F	8111 Township Line Rd		New York	 NY	10260	4432	2/5/1984
6339290499	Martin	Nathan	M	8320 Madison Ave		New York	 NY	10227	4412	12/2/1972
8705098952	Linda	Williamson	F	1801 N Senate Blvd	Apt. 300	New York	 NY	10202	2230	12/9/1957
7078390809	Kate	Smith	F	2010 W 86th St	Apt. 200	New York	 NY	10260	4433	10/5/1954
5289314298	Amy	Davis	F	8240 Naab Rd	Apt. 115	New York	 NY	10260	4433	12/9/1952
5414167725	Melissa	Kronen	F	8333 Naab Rd	Apt. 200	New York	 NY	10260	4423	10/11/1971
7127078202	Mary	Abels	F	9240 N Meridian St	Apt. 250	New York	 NY	10260	4455	4/5/1982
2917906799	Elizabeth	Abernathy	F	9240 N Meridian St	Apt. 370	New York	 NY	10260	4325	8/9/1941
5131855494	Tilly	Ablog	F	550 N University Blvd		New York	 NY	10202	5533	6/5/1955
6592132904	Angel	Jones	M	8130 S Meridian St	Apt. 4B	New York	 NY	10217	6654	10/4/1959
5650753971	Richard	Gregory	M	550 N University Blvd		New York	 NY	10202	7449	12/4/1952
9056613438	Roger	Pillar	M	975 W Walnut St		New York	 NY	10202	5344	10/11/1956
7330125016	John	Harris	M	1801 N Senate Blvd	Apt. 620	New York	 NY	10202	4432	11/5/1967
595212284	Jacob	Abrams	M	6920 Parkdale Pl	Apt. 206	New York	 NY	10254	4412	4/3/1972
6526035063	Mary	Smith	F	8220 Naab Rd		New York	 NY	10260	2230	7/2/1975
9430214680	Vance	Jackson	M	2001 W 86th St		New York	 NY	10260	4433	3/4/1936
7554444534	Bruce	Calmes	M	1400 N Ritter Ave	Apt. 375	New York	 NY	10219	4433	4/11/1967
6326108108	Veda	Swing	M	702 Barnhill Dr RM 1721		New York	 NY	10202	4423	5/7/1935
6160989485	Kenneth	Williamson	M	3231 N Meridian St	Apt. 502	New York	 NY	10208	4455	9/4/1968
1707416768	Scott	Abad	M	1701 N Senate Ave		New York	 NY	10202	4325	2/9/1975
5410953023	Neal	Abbert	M	1815 N Capitol Ave	Apt. 205	New York	 NY	10202	5533	10/10/1944
9345143400	Allen	Francis	M	535 Barnhill Dr		New York	 NY	10202	6654	2/5/1962
8178216241	Peter	Ellend	M	6925 Shore Terrace		New York	 NY	10254	7449	12/3/1982
8875107226	Paul	Jillones	M	9002 N Meridian St	Apt. 110	New York	 NY	10240	5344	5/1/1935
187660432	Jack	Pudunk	M	5110 Commerce SQ Dr	Apt. F	New York	 NY	10237	4432	12/7/1957
6429826779	Jacob	Ranfer	M	8424 Naab Rd	Apt. 2C	New York	 NY	10260	4412	3/5/1945
3297617518	William	Grundle	M	2001 W Washington St		New York	 NY	10222	2230	6/10/1979
9256178460	Walter	Abernathy	M	3500 N Lafayette Rd	Apt. B202	New York	 NY	10222	4433	9/9/1954
2845084757	Tom	Ablog	M	5750 W 56th St		New York	 NY	10254	4433	1/1/1964
1247619646	Peter	Nolan	M	6245 N College Ave		New York	 NY	10220	4423	10/2/1976
2100402192	Jerry	Abnour	M	4807 E 38th St		New York	 NY	10218	4455	8/7/1938
790246021	Laurence	Ghollis	M	6920 Parkdale Place	Apt. 107	New York	 NY	10254	4325	3/3/1970
7929638537	Robert	Oden	M	8402 Harcourt Rd	Apt. 731	New York	 NY	10260	5533	2/9/1978
8424099311	Joe	Killens	M	8402 Harcourt Rd	Apt. 731	New York	 NY	10260	6654	12/8/1974
7497057941	Tim	Guano	M	8501 Harcourt Rd		New York	 NY	10260	7449	4/12/1979
715492279	Ann	Ferris	F	6820 Parkdale Pl	Apt. 115	New York	 NY	10254	5344	6/7/1983
252792503	Stanley	Calmes	M	1340 E County Line Rd	Apt. R	New York	 NY	10143	4432	7/5/1977
9891450414	Andy	Swing	M	8424 Naab Rd		New York	 NY	10260	4412	1/7/1967
3360941016	James	Williamson	M	8333 Naab Rd	Apt. 400	New York	 NY	10260	2230	4/11/1954
8615260044	Rajiv	Abad	M	1120 South Dr	Apt. 215	New York	 NY	10202	4433	1/6/1943
3504804414	John	Abbert	M	650 N Girls School Rd		New York	 NY	10214	4433	8/6/1938
1850921564	Simon	Bonner	M	860 E 86th St		New York	 NY	10240	4423	4/8/1943
3766228084	Will	Ulrich	M	992 Mitthoeffer Rd		New York	 NY	10229	4455	6/11/1950
5917982809	Steven	Gonsalves	M	9302 N Meridian St	Apt. 110	New York	 NY	10260	4325	2/11/1948
4691641075	Gerald	Martinez	M	1250 E County Line Rd	Apt. 6	New York	 NY	10227	5533	12/9/1936
4061705517	Tilly	Schwartz	F	1801 N Senate Blvd	Apt. 200	New York	 NY	10202	6654	10/6/1976
9799791795	Ethel	Abels	F	6820 Parkdale Pl	Apt. 100	New York	 NY	10254	7449	9/1/1958
5344704668	Ray	Abernathy	M	1001 W Tenth St		New York	 NY	10202	5344	8/8/1959
9456930742	Rick	Ablog	M	550 N University Blvd	Apt. 0641	New York	 NY	10202	4432	12/10/1969
7148548273	Alexander	Putz	M	6100 N Keystone Ave	Apt. 618	New York	 NY	10220	4412	4/5/1950
9737015934	Luke	Weinburger	M	1633 N Capitol Ave	Apt. 917	New York	 NY	10202	2230	8/12/1957
5610124794	John	Grossman	M	6820 Parkdale Place	Apt. 203	New York	 NY	10254	4433	10/11/1961
1655288805	Anthony	Abrams	M	550 N University Blvd	Apt. 2007	New York	 NY	10202	4433	1/1/1968
8548796448	Oliver	Abrams	M	3901 W 86th St	Apt. 330	New York	 NY	10268	4423	12/8/1935
7376743350	Willard	Smith	M	6100 N Keystone Ave	Apt. 618	New York	 NY	10220	4455	5/1/1945
79763442	Juanita	Jackson	F	8402 Harcourt Rd	Apt. 408	New York	 NY	10260	4325	11/6/1979
5387055909	Nancy	Calmes	F	4010 W 86th St	Apt. A	New York	 NY	10268	5533	6/5/1935
3141711986	Marlene	Swing	F	1801 N Senate MPC	Apt. 315	New York	 NY	10202	6654	12/5/1966
9403452624	Sally	Williamson	F	6820 Parkdale Pl	Apt. 105	New York	 NY	10254	7449	7/5/1964
3681506507	Stanley	Shallabad	M	1001 W Tenth St		New York	 NY	10202	5344	10/7/1955
1255493223	Stanley	Young	M	550 N University Blvd	Apt. 0641	New York	 NY	10202	4432	9/9/1969
8826001816	Abe	Herris	M	650 N Girls School Rd		New York	 NY	10214	4412	1/2/1976
1609503858	Tony	Lewis	M	860 E 86th St		New York	 NY	10240	2230	3/5/1954
5773375404	Abe	Downing	M	992 Mitthoeffer Rd		New York	 NY	10229	4433	7/6/1950
2090236599	Sylvester	Gabel	M	8130 E 21St St		New York	 NY	10219	4433	3/12/1978
345664347	Vincent	Krunk	M	420 Round Hill Rd		New York	 NY	10260	4423	10/10/1937
2355289421	Charles	Radtke	M	8091 Township Line	Apt. 203	New York	 NY	10260	4455	6/11/1952
9299946671	Deborah	Collins	F	1001 W Tenth St		New York	 NY	10202	4325	7/7/1965
4962411519	Hazel	Xavier	F	1095 Broad Ripple Ave		New York	 NY	10220	5533	7/5/1959
5966126647	Merideth	Warren	F	550 N University Blvd	Apt. 2007	New York	 NY	10202	6654	11/3/1971
2002345243	Danielle	Abnour	F	6895 Parkdale Pl	Apt. BVE	New York	 NY	10254	7449	8/3/1954
5551546862	Rachael	Lopour	F	702 Barnhill Dr		New York	 NY	10202	5344	10/10/1962
1107463961	Deborah	Baker	F	8404 Siear Terrace	Apt. 206	New York	 NY	10227	4432	1/2/1951
4232035679	James	Simmons	M	4084 Pendleton Way	Apt. B	New York	 NY	10226	4412	2/10/1960
3863831613	Keith	Smith	M	8333 Naab Rd	Apt. 300	New York	 NY	10260	2230	11/7/1973
8673249912	Kenneth	Jackson	M	1455 E Southport Rd	Apt. A2	New York	 NY	10227	4433	11/4/1948
1932198072	Stephen	Calmes	M	635 Barnhill Dr	RM 128A	New York	 NY	10202	4433	4/11/1941
2203385790	Christopher	Swing	M	1120 South Dr	Apt. 204	New York	 NY	10202	4423	11/6/1981
4862182397	Thomas	Williamson	M	1801 N Senate Blvd	Apt. 355	New York	 NY	10202	4455	5/9/1982
5029627106	Eric	Abad	M	8051 S Emerson Ave	Apt. 410	New York	 NY	10237	4325	10/6/1947
1447624069	Kris	Abbert	M	860 E 86th St		New York	 NY	10240	5533	5/11/1951
5358212550	Kris	Quincy	M	992 Mitthoeffer Rd		New York	 NY	10229	6654	12/5/1977
6138953922	Robert	Abate	M	1801 N Senate Blvd	Apt. 510	New York	 NY	10202	7449	9/7/1982
2060960912	Oliver	Brouseau	M	1801 N Senate Blvd	Apt. 590	New York	 NY	10202	5344	2/10/1935
8947526227	Todd	McTavish	M	1801 N Senate Blvd	Apt. G407	New York	 NY	10202	4432	12/9/1978
5929642228	Frank	Stern	M	9240 N Meridian St	Apt. 210	New York	 NY	10260	4412	8/8/1983
391949974	Annette	Abels	F	650 N Girls School Rd		New York	 NY	10214	2230	1/2/1971
8747410003	Annette	Abernathy	F	860 E 86th St		New York	 NY	10240	4433	7/6/1942
9968790977	Annie	Ablog	F	992 Mitthoeffer Rd		New York	 NY	10229	4433	3/7/1960
7407839246	David	Mcarty	M	3225 N Meridian St	Apt. 106	New York	 NY	10208	4423	4/10/1961
4347825577	Scott	Molina	M	6443 W Tenth St	Apt. 101	New York	 NY	10214	4455	12/7/1959
3375048401	Neal	Garcia	M	9002 N Meridian St	Apt. 106	New York	 NY	10260	4325	7/1/1964
9401520570	Clarence	Benitez	M	1701 N Senate Blvd		New York	 NY	10202	5533	9/3/1935
9246040706	Thomas	Landis	M	1001 W 10th St		New York	 NY	10202	6654	11/5/1937
1706851523	Thomas	Armstrong	M	550 N University Blvd		New York	 NY	10202	7449	1/6/1984
187409465	Wayne	Jackson	M	1633 N Capitol Ave	Apt. 522	New York	 NY	10202	5344	4/10/1966
4894749678	Will	Calmes	M	3901 W 86th St	Apt. 330	New York	 NY	10268	4432	2/8/1965
7169204885	Mohammed	Swing	M	1001 W Tenth St		New York	 NY	10202	4412	8/3/1953
8458764408	Kristen	Williamson	F	1500 Ritter Ave		New York	 NY	10219	2230	9/11/1972
1711535565	John	Hottinger	F	4850 Century Plaza Rd		New York	 NY	10254	4433	6/12/1980
5054800374	Karen	Sachlague	F	1001 W Tenth St		New York	 NY	10202	4433	1/10/1970
7802479279	Nancy	McKay	F	702 Barnhill Dr		New York	 NY	10202	4423	11/7/1971
9200128701	Jonathan	Gwynn	M	1120 South Dr	Apt. 204	New York	 NY	10202	4455	7/11/1959
6780465290	Caryn	Garvey	F	550 N University Blvd	Apt. 0641	New York	 NY	10202	4325	6/5/1970
7993238147	Dennis	Hershieser	M	602 N High School Rd		New York	 NY	10214	5533	3/11/1938
4460964538	John	Dooley	M	1455 E Southport Rd	Apt. A2	New York	 NY	10227	6654	1/2/1948
7569646281	Joseph	Jabbanda	M	2310 E 62ND St		New York	 NY	10220	7449	9/3/1950
1488325257	Tom	Abernathy	M	4850 Century Plaza Rd		New York	 NY	10254	5344	7/8/1982
6944561477	Lydia	Ablog	F	8111 Township Line Rd		New York	 NY	10260	4432	3/11/1976
8256070954	Martin	Heebigeeby	M	8320 Madison Ave		New York	 NY	10227	4412	1/5/1958
1189841743	Linda	Chaholic	F	1801 N Senate Blvd	Apt. 300	New York	 NY	10202	2230	6/6/1977
5294306281	Elizabeth	Cahill	F	2010 W 86th St	Apt. 200	New York	 NY	10260	4433	5/4/1976
5655442775	Mary	Abrams	F	8240 Naab Rd	Apt. 115	New York	 NY	10260	4433	11/10/1968
8068595009	Melissa	Solo	F	8333 Naab Rd	Apt. 200	New York	 NY	10260	4423	4/4/1982
5897140503	Jasmine	Smith	F	9240 N Meridian St	Apt. 250	New York	 NY	10260	4455	2/1/1950
2801379844	Ariel	Jackson	F	9240 N Meridian St	Apt. 370	New York	 NY	10260	4325	5/2/1961
9640027430	Mary	Calmes	F	550 N University Blvd		New York	 NY	10202	5533	7/5/1965
3717506553	Angel	Swing	M	8130 S Meridian St	Apt. 4B	New York	 NY	10217	6654	4/4/1974
8912369395	Richard	Williamson	M	550 N University Blvd		New York	 NY	10202	7449	2/9/1956
6805072609	Brad	Abad	M	975 W Walnut St		New York	 NY	10202	5344	9/4/1939
665445569	John	Abbert	M	1801 N Senate Blvd	Apt. 620	New York	 NY	10202	4432	4/6/1978
7334287769	Savidore	Pennis	M	6920 Parkdale Pl	Apt. 206	New York	 NY	10254	4412	10/3/1944
8626064211	Mary	Wayneright	F	8220 Naab Rd		New York	 NY	10260	2230	6/5/1968
8331733680	Vance	Longhenry	M	2001 W 86th St		New York	 NY	10260	4433	9/5/1953
5166095375	Bruce	Doohickey	M	1400 N Ritter Ave	Apt. 375	New York	 NY	10219	4433	12/6/1935
9549208458	Veda	Abels	M	702 Barnhill Dr RM 1721		New York	 NY	10202	4423	3/1/1980
8971011491	Kenneth	Riveel	M	3231 N Meridian St	Apt. 502	New York	 NY	10208	4455	3/2/1966
5187878730	Scott	Abernathy	M	1701 N Senate Ave		New York	 NY	10202	4325	3/10/1958
7985186585	Neal	Ablog	M	1815 N Capitol Ave	Apt. 205	New York	 NY	10202	5533	10/6/1965
2420598464	Allen	Nacho	M	535 Barnhill Dr		New York	 NY	10202	6654	5/12/1952
9455864324	Alex	Abnour	M	6925 Shore Terrace		New York	 NY	10254	7449	10/12/1948
2001195178	Justin	Guitierez	M	9002 N Meridian St	Apt. 110	New York	 NY	10240	5344	3/9/1953
4112742633	Jack	Henry	M	5110 Commerce SQ Dr	Apt. F	New York	 NY	10237	4432	8/5/1970
7680390934	Lance	Abrams	M	8424 Naab Rd	Apt. 2C	New York	 NY	10260	4412	7/10/1941
6873734615	William	Smith	M	2001 W Washington St		New York	 NY	10222	2230	1/7/1955
2474646560	Terrence	Jackson	M	3500 N Lafayette Rd	Apt. B202	New York	 NY	10222	4433	5/1/1952
3871446779	Jay	Calmes	M	5750 W 56th St		New York	 NY	10254	4433	4/8/1945
1744287169	Gerfield	Swing	M	6245 N College Ave		New York	 NY	10220	4423	9/10/1978
8254871457	Jerry	Williamson	M	4807 E 38th St		New York	 NY	10218	4455	11/10/1958
3562916896	Laurence	Abad	M	6920 Parkdale Place	Apt. 107	New York	 NY	10254	4325	3/2/1980
5458938123	Robert	Abbert	M	8402 Harcourt Rd	Apt. 731	New York	 NY	10260	5533	4/8/1972
7191691720	Simon	Abels	M	8402 Harcourt Rd	Apt. 731	New York	 NY	10260	6654	2/1/1958
736544552	Andrew	Abels	M	8501 Harcourt Rd		New York	 NY	10260	7449	1/4/1938
6493037215	Ann	Banner	F	6820 Parkdale Pl	Apt. 115	New York	 NY	10254	5344	3/9/1959
1436954988	Stanley	Fredricks	M	1340 E County Line Rd	Apt. R	New York	 NY	10143	4432	12/9/1977
2407823008	Stanley	Gonswalla	M	8424 Naab Rd		New York	 NY	10260	4412	11/10/1962
9535986372	James	Tanner	M	8333 Naab Rd	Apt. 400	New York	 NY	10260	2230	3/11/1978
449210941	Rajiv	Abernathy	Dr.	1120 South Dr	Apt. 215	New York	 NY	10202	4433	4/5/1943
6204904682	John	Jougner	M	650 N Girls School Rd		New York	 NY	10214	4433	2/5/1970
78142863	John	Abnour	M	860 E 86th St		New York	 NY	10240	4423	12/11/1976
1905798877	Roger	Armstrong	M	992 Mitthoeffer Rd		New York	 NY	10229	4455	9/12/1971
2114100593	Steven	Jackson	M	9302 N Meridian St	Apt. 110	New York	 NY	10260	4325	3/3/1984
76075252	Gerald	Calmes	M	1250 E County Line Rd	Apt. 6	New York	 NY	10227	5533	10/8/1976
2489690095	Bianca	Swing	F	1801 N Senate Blvd	Apt. 200	New York	 NY	10202	6654	6/4/1963
1063684406	Emerald	Williamson	F	6820 Parkdale Pl	Apt. 100	New York	 NY	10254	7449	12/10/1980
3536007044	Oliver	Hottinger	M	1001 W Tenth St		New York	 NY	10202	5344	2/12/1961
9075725476	Theodore	Sachlague	M	550 N University Blvd	Apt. 0641	New York	 NY	10202	4432	6/4/1981
2748635889	Alexander	McKay	M	6100 N Keystone Ave	Apt. 618	New York	 NY	10220	4412	9/6/1972
7587448762	Luke	Gwynn	M	1633 N Capitol Ave	Apt. 917	New York	 NY	10202	2230	2/2/1936
2634154218	John	Garvey	M	6820 Parkdale Place	Apt. 203	New York	 NY	10254	4433	10/3/1969
